Variable,pvalue,coef,fdr
SCN10A,0.024018916116249178,0.1523488695940967,0.337787098001619
GOLGA8F,0.04329414195334844,0.18014517360968488,0.390037314895031
CXCL13,0.013325302160136023,-0.17745450160085857,0.3098907479101401
IBSP,0.037952958402398,0.18714766502263183,0.390037314895031
CSAG3,0.0254076164586896,-0.16570678645032638,0.3468157796062979
SMPD3,0.03919102384713925,0.17233339647947124,0.390037314895031
TBR1,0.03295491059079479,0.1668083773037713,0.38004465856859376
PRDM16,0.04212466384985999,-0.14643158650607674,0.390037314895031
SYTL5,0.04118187914323165,-0.14237336394143651,0.390037314895031
SOSTDC1,0.00590883573369768,-0.23211526920208386,0.23426873578843926
LGR6,0.00794300450642487,0.18746747416878157,0.2570901617518819
GAD2,0.014923215823487742,0.18504180856166472,0.3113232013368736
PYGM,0.016642350233165206,0.17515332106123904,0.3139573850876224
ACTG2,0.0007766521804056617,-0.29907396483492793,0.20378843797113158
LPAR3,0.006346317038102306,0.26054709876860443,0.23426873578843926
MGST1,0.03368378162164937,-0.13118594830100008,0.38004465856859376
NDST3,0.015248012447775176,-0.1709202914629274,0.3113232013368736
MAGEB1,0.005611201961616592,-0.23403968133175412,0.23426873578843926
CACNA1E,0.024320671056116565,0.16402612024208854,0.337787098001619
LINC00470,0.0012591653742307141,-0.2241035166805028,0.2287273683743696
PLCXD3,0.04052692274150342,0.15488150492580638,0.390037314895031
DMBT1,0.027409136925113962,0.1399162998170527,0.3513991913476149
PHOSPHO1,0.025832530798341257,0.21257943378469565,0.3468157796062979
KRT15,0.015254836865506806,0.17127726326733395,0.3113232013368736
EIF4E1B,0.017581613564906853,0.21068864437422746,0.3139573850876224
ADH1B,0.013139634694440771,0.21161893992754538,0.3098907479101401
RAB3C,0.044574599832590545,0.13492965003405,0.39380019165399843
DIO3OS,0.04455187388627118,0.150183446696682,0.39380019165399843
LINC00626,0.020851715267287,-0.18956601715456128,0.33455307815862984
FAM166B,0.001675718191883376,0.22507354571474433,0.23426873578843926
TENM2,0.03910543773428197,-0.13737452201301695,0.390037314895031
GNGT1,0.03331502938751958,-0.1663824544577283,0.38004465856859376
NPAP1,0.028299663860243327,0.18902030953089205,0.3537457982530416
IL13RA2,0.004688610476539823,-0.2557815318622186,0.23426873578843926
GRIK2,0.039814488776489014,-0.12402630270991905,0.390037314895031
ANKRD30A,0.042992207460198814,0.16548070429410647,0.390037314895031
LINC01470,0.045287022040209825,0.13303930437185116,0.39380019165399843
ST6GALNAC5,0.006340913835952755,-0.22572257105026794,0.23426873578843926
KRT16,0.036658156368501116,0.15421094683086298,0.390037314895031
NXPE1,0.015952037008832673,0.18912810584042394,0.3125056678175693
